contigName	contigLen	totalAvgDepth	0.bam	0.bam-var	1.bam	1.bam-var	2.bam	2.bam-var	3.bam	3.bam-var	4.bam	4.bam-var
contig_275	12342	102.261	12.1106	87.0655	13.5002	174.796	20.8656	304.25	11.421	81.8964	44.3631	1345.58
contig_2750	11435	64.4543	9.16783	30.0257	9.49517	19.5148	12.9459	55.4057	9.17297	30.0511	23.6725	105.277
contig_2752	19307	458.551	80.7253	5759.06	70.7683	4539.68	11.2209	281.818	81.1447	5771.66	214.691	34801.4
contig_2757	31577	179.454	21.0943	32.3638	21.5791	46.677	54.6172	136.216	21.1732	33.6643	60.99	347.112
contig_2758	41567	212.446	20.9426	78.6652	28.0317	97.9006	66.6818	287.219	20.944	78.1564	75.8456	766.732
contig_2760	22108	73.5714	9.48115	23.1558	9.40486	40.6071	17.0506	30.489	9.47595	22.4961	28.1588	315.164
contig_2761	3794	137.18	32.2012	31.5154	14.1907	6.96631	5.42316	1.65342	32.2012	31.5154	53.1636	66.5353
contig_2763	1.08639e+06	81.8162	10.4999	17.1269	12.3005	20.5503	17.0595	41.0396	10.5007	17.0087	31.4555	86.321
contig_2764	23392	184.03	22.3504	115.11	25.1317	98.9114	42.142	271.598	22.3139	116.358	72.0919	730.83
contig_2766	21048	178.826	21.6975	135.575	24.5355	174.922	48.9231	317.796	21.5897	136.517	62.0805	848.414
contig_2767	9642	151.388	20.8935	160.929	24.8823	62.6879	30.6012	283.158	21.6848	151.563	53.3259	490.368
contig_2768	47109	215.885	25.669	269.229	29.6548	191.834	52.1518	532.559	25.8897	261.528	82.5196	1522.09
contig_2770	26433	379.783	39.8776	121.606	51.0239	97.2362	105.509	250.272	39.7312	123.91	143.641	1504.3
contig_2771	2002	83.0292	14.2068	3.54073	13.5227	3.37762	9.54644	3.92825	14.1215	3.71131	31.6318	10.9622
contig_2774	30540	122.751	14.6273	34.3762	18.7793	49.6837	31.3028	64.4084	14.5352	34.679	43.5063	217.655
contig_2775	4134	45.3778	3.72013	2.36677	8.23519	4.12718	10.1408	0.61109	3.72013	2.36677	19.5615	16.425
contig_2776	2572	32.5974	6.39761	2.41725	2.37242	2.83019	2.50372	1.99069	7.72667	5.50568	13.597	10.738
contig_2778	75992	144.109	16.3107	92.2706	21.2887	162.847	34.5373	391.918	16.2854	92.5708	55.6869	806.231
contig_2781	64209	63.8899	7.84185	34.879	9.10074	53.4997	15.5484	26.7816	7.8468	34.8905	23.5522	238.95
contig_2786	11501	92.6042	9.53934	28.5143	14.3635	49.9128	21.2105	136.159	9.53934	28.5143	37.9515	353.346
contig_2790	5270	57.4926	4.41445	2.76034	11.4021	2.12752	13.9719	2.64854	4.41445	2.76034	23.2896	7.51584
contig_2791	788733	158.727	20.0744	28.545	22.2428	32.3923	36.5609	68.9462	20.069	28.4135	59.7794	147.128
contig_2792	195155	44.0112	7.28499	9.46025	6.72454	10.7363	4.24187	5.93367	7.27051	9.25503	18.4893	40.9769
contig_2793	174323	360.905	50.1363	131.267	52.9548	138.597	75.7271	335.531	50.1339	131.021	131.953	801.235
contig_2794	319205	61.0922	8.77885	8.16631	10.2147	14.5099	9.96193	15.0375	8.7867	8.19597	23.35	32.8577
contig_2795	131714	65.5427	10.2388	16.494	9.82558	13.503	9.92504	10.941	10.227	16.2399	25.3263	55.2351
contig_2796	11530	227.277	31.7529	1161.37	35.2582	1324.61	51.4438	2599.89	30.6306	1131.98	78.1917	6312.54
contig_2798	27614	1257.26	192.196	96907.8	189.436	86127.1	149.709	87895.1	192.118	96798.2	533.806	565621
contig_2799	2162	1125.81	176.98	692.66	175.065	910.644	108.044	83.9433	174.814	660.921	490.904	5204.49
contig_280	56147	95.5028	8.40854	33.3755	13.2844	62.7052	28.9299	147.445	8.39052	33.3507	36.4895	447.576
contig_2800	8553	1214.43	177.647	156.895	194.737	246.473	153.54	19.2523	177.647	156.895	510.862	583.341
contig_2801	15805	1373.93	197.839	88.9429	203.153	202.331	206.755	49.9068	197.839	89.5622	568.346	640.962
contig_2803	4870	1218.75	171.49	255.441	185.421	50.1006	177.772	13.5804	171.49	255.441	512.579	258.894
contig_2804	17216	341.718	65.7926	571.774	41.4923	304.629	33.8354	78.6402	65.9817	559.056	134.616	2055.12
contig_2807	27538	134.352	24.1766	884.002	21.6589	641.755	12.8698	165.147	24.0433	879.218	51.6035	3601.95
contig_2809	1057	170.327	36.2525	61.3323	22.5976	2.75949	3.97354	0.160448	36.0121	57.5439	71.4917	38.1067
contig_2811	509	48.0669	7.37047	1.11097	7.51811	2.68054	10	0.24581	7.88301	1.91923	15.2953	6.11369
contig_2812	25960	105.62	20.3486	384.291	15.1688	195.43	6.97423	49.9693	19.8985	376.094	43.23	1515.47
contig_2813	13054	107.243	18.5985	232.043	18.0304	191.459	5.33672	7.00576	18.6863	232.968	46.5908	775.243
contig_2815	14452	100.05	18.5369	105.395	14.4378	83.1412	14.9852	5.98502	18.5864	106.502	33.5031	273.286
contig_2816	23359	228.748	46.0992	716.245	34.3369	394.667	13.638	52.3264	45.5986	706.267	89.0755	2855.74
contig_2818	23122	154.798	27.3369	25.4943	20.7918	14.7766	13.4081	20.7495	27.2282	27.0271	66.0326	213.978
contig_2819	831	1027.31	193.734	59.0984	160.549	46.3215	44.9501	0.682798	193.734	59.0984	434.345	173.82
contig_282	14200	47.3707	4.33687	2.99911	8.22491	4.93437	10.5976	12.4909	4.33687	2.99911	19.8744	17.2293
contig_2820	5219	1209.71	225.053	165.733	191.144	329.66	47.6859	4.94	225.053	165.733	520.775	539.731
contig_2821	17993	354.312	66.9063	115.33	57.2628	65.3439	17.8233	9.56641	66.5926	124.454	145.727	563.945
contig_2822	40570	141.206	25.4645	276.871	19.7947	127.91	16.038	57.9495	25.2552	266.813	54.6541	957.89
contig_2823	1364	14.7661	3.14086	4.82525	3.05848	0.554694	0	0	3.00659	3.03703	5.56013	4.01248
contig_2825	4758	60.3116	13.7283	14.5574	7.8648	10.9846	0	0	15.3145	22.9096	23.4041	103.988
contig_2826	45998	594.86	106.107	191.499	96.2926	207.909	45.557	26.4738	106.302	184.715	240.601	961.14
contig_2828	1188	338.083	33.3516	25.3064	38.1407	13.55	0.99711	0.00288459	31.5145	7.68105	234.079	138.489
contig_2829	24955	478.729	89.1998	428.598	74.253	252.72	40.1609	38.4904	89.255	414.929	185.86	1266.1
contig_283	16441	95.2334	7.89123	95.3498	14.4407	191.349	29.8676	918.202	7.89387	95.4981	35.14	1545.14
contig_2830	629	47.9395	6.27766	0.67379	7.36743	0.596932	0.997912	0.00208768	6.27766	0.67379	27.0188	9.36575
