contigName	contigLen	totalAvgDepth	reads/ERR7625420.fastq.gz	reads/ERR7625420.fastq.gz-var	reads/ERR7625421.fastq.gz	reads/ERR7625421.fastq.gz-var	reads/ERR7625422.fastq.gz	reads/ERR7625422.fastq.gz-var	reads/ERR7625423.fastq.gz	reads/ERR7625423.fastq.gz-var	reads/ERR7625424.fastq.gz	reads/ERR7625424.fastq.gz-var	reads/ERR7625425.fastq.gz	reads/ERR7625425.fastq.gz-var	reads/ERR7625426.fastq.gz	reads/ERR7625426.fastq.gz-var
contig_1	38370	1.4	1.4	1.1100759506225586	0	0	0	0	0	0	0	0	0	0	0	0
contig_100	845	124.58888888888889	26	168.29000854492188	18	125.29000091552734	45	624.638916015625	5.7	13.243056297302246	8.11111111111111	16.243057250976563	10.333333333333334	25.1875	11.444444444444445	39.5
contig_1000	6758	17.20979020979021	8.179487179487179	19.298479080200195	0	0	0	0	0	0	9.030303030303031	20.641796112060547	0	0	0	0
contig_10000	4135	22.807692307692307	9.307692307692308	12.546174049377441	0	0	0	0	0	0	13.5	26.827655792236328	0	0	0	0
contig_10001	7906	13.569444444444445	6.5	12.488109588623047	0	0	0	0	0	0	7.069444444444445	13.97612476348877	0	0	0	0
contig_10002	5136	10.692307692307692	10.692307692307692	26.492023468017578	0	0	0	0	0	0	0	0	0	0	0	0
contig_10003	26285	21.223333333333333	12.25	42.41145706176758	0	0	0	0	0	0	8.973333333333333	9.7108793258667	0	0	0	0
contig_10004	5164	21	21	56.66002655029297	0	0	0	0	0	0	0	0	0	0	0	0
contig_10005	2616	103	71	905.232177734375	0	0	0	0	0	0	32	165.7955780029297	0	0	0	0
contig_10006	3389	3.7096774193548385	3.7096774193548385	3.7246904373168945	0	0	0	0	0	0	0	0	0	0	0	0
contig_10007	10009	23	23	87.73323822021484	0	0	0	0	0	0	0	0	0	0	0	0
contig_10008	32153	20	20	52.73941421508789	0	0	0	0	0	0	0	0	0	0	0	0
contig_10009	34683	23.382213138131	10.761194029850746	28.658203125	0	0	0	0	0	0	12.621019108280255	52.13124084472656	0	0	0	0
contig_1001	1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig_10010	27917	19	19	65.26142120361328	0	0	0	0	0	0	0	0	0	0	0	0
contig_10011	13387	176	26	171.0567626953125	0	0	33	492.9757995605469	23	37.454463958740234	0	0	68	1174.876220703125	26	31.837915420532227
contig_10012	82716	26.21974102902567	4.6732161323681485	5.418954372406006	0.7863247863247863	0.3734878897666931	12.673789173789174	46.1977424621582	0	0	2.3793103448275863	2.2200746536254883	5.707100591715976	11.422812461853027	0	0
contig_10013	8397	15	15	33.38335418701172	0	0	0	0	0	0	0	0	0	0	0	0
contig_10015	45134	33.72226269552175	28	107.79769897460938	0	0	0	0	0	0	0.8615384615384616	0.20700816810131073	4.860724233983287	7.014174938201904	0	0
contig_10018	57716	50.359923228358454	11.613670133729569	32.016571044921875	0.959349593495935	0.4788758456707001	12.281853281853282	34.22754669189453	0.4931506849315068	0.09331599622964859	8.236252545824847	21.58955192565918	13.414023372287145	50.23096466064453	3.3616236162361623	3.5296032428741455
contig_10019	29239	14.459463785817368	5.231046931407942	9.658233642578125	0.26666666666666666	0.12072340399026871	5.27542372881356	9.518248558044434	0	0	1.3186813186813187	1.1475416421890259	0.7238095238095238	0.5925627946853638	1.643835616438356	2.747722864151001
contig_1002	31023	3.7714285714285714	3.7714285714285714	3.1085567474365234	0	0	0	0	0	0	0	0	0	0	0	0
