contigName	contigLen	totalAvgDepth	0.bam	0.bam-var	1.bam	1.bam-var	2.bam	2.bam-var	3.bam	3.bam-var	4.bam	4.bam-var	5.bam	5.bam-var	6.bam	6.bam-var
contig_2237	76558	17.2166	6.8931	10.1013	0.265195	0.392173	6.48348	483.697	0.214637	2.64169	1.48863	14.4465	0.806421	5.07359	1.06516	9.1461
contig_2238	21633	8.06908	2.03333	0.787807	0.198762	0.159273	2.24657	3.85487	0	0	0	0	3.41302	3.98167	0.177396	0.145952
contig_2239	3962	42.5173	3.53043	4.81263	0.0794858	0.127766	21.6595	1170.33	3.11175	5.25488	6.84339	10.8348	6.53174	55.4401	0.761018	2.5734
contig_224	3756	162.898	75.3453	16.873	0.588741	0.242745	55.0324	23.1969	1.37964	0.284385	10.0499	10.1196	8.71437	5.54176	11.7879	1.25564
contig_2241	22307	64.0142	21.7785	75.3618	0.537889	0.381672	15.3039	163.646	1.21975	1.75597	5.98249	19.7359	16.7992	331.539	2.39247	8.2135
contig_2243	800	26.4	12.0108	1.15705	0	0	8.14462	14.7619	0	0	3.00308	2.17562	1.70462	1.39491	1.53692	0.316818
contig_2244	849	66.9685	10.5565	0.823087	0	0	38.1846	7.61208	0	0	12.4464	3.28186	2.52217	0.390266	3.25894	0.355488
contig_2245	76362	53.3876	4.60721	5.00714	3.49102	14.9654	12.7864	29.2464	0	0	2.14563	4.61991	29.6903	202.744	0.667021	0.496064
contig_2246	19466	6.39092	2.14247	0.711444	0	0	0.57983	9.40561	3.66862	6.53347	0	0	0	0	0	0
contig_2247	5667	59.2556	3.56824	1.6109	2.98206	3.0904	36.8385	407.867	0.25068	0.187872	2.75856	2.22783	8.26228	28.8373	4.59525	4.48485
contig_2248	22130	58.9761	5.14308	3.57574	12.4521	103.91	0.281984	0.536289	0.224249	0.26433	9.73794	44.0052	0.71465	0.387282	30.4221	319.224
contig_2250	5176	163.516	34.2344	8.73372	26.5432	6.82006	41.2282	14.6437	0.0915241	0.0831617	30.1303	13.6058	0.177477	0.146005	31.1112	28.2819
contig_2251	7384	13.8493	5.43572	3.28663	1.12828	1.72521	2.67183	2.32414	0.146392	0.124973	3.88886	1.49716	0	0	0.578242	1.38341
contig_2252	117360	11.2004	5.3122	7.24904	0.125569	0.128061	0.0223786	0.0263773	0.39721	4.39863	0.0428632	0.0431525	0.0308506	0.0299187	5.26929	41.589
contig_2253	5258	5.70243	4.43422	0.516704	0	0	0.476507	0.679097	0	0	0	0	0	0	0.791699	4.13253
contig_2254	2.70592e+06	18.149	18.0375	20.0454	0.00165868	0.00205287	0.0131715	0.0656674	0	0	0.046963	0.663773	0.0282415	0.14856	0.0214597	0.143324
contig_2255	11215	9.32671	2.57831	0.453397	0	0	0	0	0	0	0.877271	0.577834	4.58328	1.09831	1.28784	0.454646
contig_2256	6899	3.89673	3.61876	1.31953	0	0	0.277967	0.20073	0	0	0	0	0	0	0	0
contig_2257	29029	230.81	228.064	3744.49	0.0433879	0.0814182	1.10319	18.3113	0.384813	0.98414	0.213754	1.70111	0.691367	4.20655	0.309671	1.55936
contig_2258	39147	34.2042	5.51876	2.77707	0.210196	1.09523	10.7511	13.6325	0	0	15.895	11.8413	1.63969	2.22567	0.189527	0.371054
