contigName	contigLen	totalAvgDepth	QC/reads/DRR310871_R1.fastq.gz	QC/reads/DRR310871_R1.fastq.gz-var	QC/reads/DRR310872_R1.fastq.gz	QC/reads/DRR310872_R1.fastq.gz-var	QC/reads/DRR310873_R1.fastq.gz	QC/reads/DRR310873_R1.fastq.gz-var	QC/reads/DRR310874_R1.fastq.gz	QC/reads/DRR310874_R1.fastq.gz-var	QC/reads/DRR310875_R1.fastq.gz	QC/reads/DRR310875_R1.fastq.gz-var	QC/reads/DRR310876_R1.fastq.gz	QC/reads/DRR310876_R1.fastq.gz-var	QC/reads/DRR310877_R1.fastq.gz	QC/reads/DRR310877_R1.fastq.gz-var	QC/reads/DRR310878_R1.fastq.gz	QC/reads/DRR310878_R1.fastq.gz-var	QC/reads/DRR310879_R1.fastq.gz	QC/reads/DRR310879_R1.fastq.gz-var	QC/reads/DRR310880_R1.fastq.gz	QC/reads/DRR310880_R1.fastq.gz-var	QC/reads/DRR310881_R1.fastq.gz	QC/reads/DRR310881_R1.fastq.gz-var	QC/reads/DRR310882_R1.fastq.gz	QC/reads/DRR310882_R1.fastq.gz-var
NODE_1_length_55700_cov_21.385551	55700	27.46728558797524	26	57.993247985839844	0	0	0	0	0	0	0.9615384615384616	0.23298296332359314	0	0	0	0	0	0	0.5057471264367817	0.1469995528459549	0	0	0	0	0	0
NODE_2_length_54770_cov_7.167906	54770	64.11098711268038	9.164265129682997	7.955068588256836	3.87409200968523	4.836994647979736	5.527363184079602	9.847427368164063	0	0	4.938725490196078	7.78849458694458	6.9714867617107945	17.788114547729492	6.5	15.3179931640625	6.5147392290249435	15.935967445373535	9.981378026070763	38.04594421386719	9.386904761904763	33.39145278930664	0	0	1.2520325203252032	0.7621563673019409
NODE_3_length_48638_cov_16.927753	48638	36.912618070854165	18	43.7185173034668	0	0	4.237394957983193	5.0078935623168945	0	0	4.189830508474576	4.865370750427246	3.4254658385093166	3.299283981323242	1.6385542168674698	2.0361506938934326	0	0	1.7647058823529411	1.110320806503296	0	0	0	0	3.6566666666666667	3.6882712841033936
NODE_4_length_43299_cov_17.911433	43299	39.43327179576849	20	51.46173095703125	0	0	4.1318458417849895	4.267831325531006	0	0	4.308441558441558	5.502649784088135	3.4937888198757765	3.5793049335479736	1.4823529411764707	2.1571245193481445	0	0	1.9743589743589745	1.1537206172943115	0	0	0	0	4.042483660130719	4.601554870605469
NODE_5_length_42960_cov_7.004522	42960	61.5871798538482	8.897727272727273	9.689658164978027	3.3877551020408165	3.690965414047241	5.167213114754098	8.464360237121582	0	0	5.200716845878136	7.7702789306640625	6.23876404494382	15.130417823791504	6.942424242424242	17.180782318115234	6.977707006369426	16.27951431274414	9.099216710182768	32.8632926940918	8.441087613293051	25.08831787109375	0	0	1.2345679012345678	0.5101863145828247
NODE_6_length_40194_cov_7.315504	40194	71.45770120301633	9.209302325581396	8.538676261901855	4.182716049382716	6.02756404876709	5.555256064690027	9.849712371826172	0	0	5.236768802228412	9.110424041748047	7.7439024390243905	19.45912742614746	8.240099009900991	23.534887313842773	8.464102564102564	22.275758743286133	11.161797752808988	34.88014602661133	10.397701149425288	33.41130065917969	0	0	1.2660550458715596	1.2992277145385742
NODE_7_length_37377_cov_7.044826	37377	59.96011014463982	8.924276169265033	7.661760330200195	2.9533678756476682	1.9931015968322754	5.463829787234043	9.457148551940918	0	0	5.178899082568807	7.5256147384643555	6.735408560311284	14.905678749084473	7.096	16.60562515258789	6.926356589147287	15.881382942199707	8.283870967741935	25.65620231628418	7.266025641025641	23.106346130371094	0	0	1.1320754716981132	0.5046895742416382
NODE_8_length_36750_cov_10.121924	36750	14.380174291938998	13.880174291938998	24.344682693481445	0	0	0	0	0	0	0.5	0.16193918883800507	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_9_length_35076_cov_24.265755	35076	29	29	67.1064682006836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_10_length_33625_cov_17.292702	33625	38.38645155145666	19	55.33797073364258	0	0	4.417582417582418	5.928736209869385	0	0	3.3278688524590163	2.642266273498535	3.4266666666666667	3.6917898654937744	3.2655601659751037	3.335582733154297	0	0	1.4090909090909092	1.1335076093673706	0	0	0	0	3.5396825396825395	4.070075035095215
NODE_11_length_32626_cov_16.035829	32626	36.91875120721321	19	51.717132568359375	0	0	3.60989010989011	3.497349262237549	0	0	4.393782383419689	4.946927547454834	3.4293193717277486	3.0933678150177	1.3714285714285714	1.3815149068832397	0	0	1.1929824561403508	1.1768704652786255	0	0	0	0	3.9213483146067416	3.891772747039795
NODE_12_length_31000_cov_16.449766	31000	34.414107141958894	18	59.72956085205078	0	0	3.3058419243986252	3.2970938682556152	0	0	3.539473684210526	3.990016222000122	3.23921568627451	3.414064884185791	1.4666666666666666	2.021334171295166	0	0	1.2352941176470589	1.1319189071655273	0	0	0	0	3.6276150627615062	4.0786895751953125
NODE_13_length_30786_cov_17.256451	30786	21.824242424242424	21	28.34211540222168	0	0	0	0	0	0	0.4	0.020769868046045303	0	0	0	0	0	0	0.42424242424242425	0.0549500472843647	0	0	0	0	0	0
NODE_14_length_30513_cov_7.921695	30513	60.77845100315077	9.9280205655527	12.569089889526367	3.515837104072398	3.9014172554016113	4.772321428571429	6.343507289886475	0	0	4.78021978021978	6.2165374755859375	6.432330827067669	14.723246574401855	6.651452282157677	17.021926879882813	6.292929292929293	12.77219295501709	9.254416961130742	34.7357063293457	8.278195488721805	26.50527572631836	0	0	0.8727272727272727	0.7681886553764343
NODE_15_length_29995_cov_17.848530	29995	39.39105215401619	19	55.53793716430664	0	0	4.111888111888112	4.635365009307861	0	0	3.895424836601307	3.5369205474853516	3.515	3.7056915760040283	3.2020725388601035	2.9892539978027344	0	0	1.2666666666666666	1.0233930349349976	0	0	0	0	4.4	5.959534168243408
NODE_16_length_29755_cov_19.928148	29755	44.09003857756706	22	56.9794921875	0	0	4.655882352941177	5.949084281921387	0	0	4.110655737704918	5.191041469573975	4.122270742358078	5.649760723114014	3.0878048780487806	2.63946795463562	0	0	1.543859649122807	2.2360525131225586	0	0	0	0	4.569565217391304	6.337002754211426
NODE_17_length_28770_cov_7.517569	28770	65.862131738396	9.238636363636363	9.829216003417969	3.798449612403101	4.828648567199707	5.487068965517241	9.278793334960938	0	0	4.6141732283464565	6.846319675445557	7.694444444444445	20.822799682617188	6.996212121212121	19.518417358398438	8.130081300813009	23.421602249145508	9.055363321799309	31.99462890625	9.559566787003611	32.29461669921875	0	0	1.2881355932203389	1.3639518022537231
NODE_18_length_28486_cov_15.331715	28486	34.6814173193916	17	41.4852294921875	0	0	3.4698795180722892	3.650383472442627	0	0	3.6666666666666665	4.010696887969971	3.8115942028985508	4.329614639282227	1.5	1.9847952127456665	0	0	1.6444444444444444	1.323896884918213	0	0	0	0	3.5888324873096447	4.279594421386719
NODE_19_length_27557_cov_7.229838	27557	92.7448354720488	9.922190201729107	15.484537124633789	3.956043956043956	5.260583877563477	8.677631578947368	18.478912353515625	4.548951048951049	7.6753082275390625	12.870662460567823	41.28192138671875	11.991071428571429	32.764434814453125	11.908554572271386	33.32054901123047	0.819047619047619	1.7636829614639282	12.31304347826087	24.293378829956055	7.028301886792453	12.446186065673828	3.3834586466165413	3.9077820777893066	5.325878594249201	8.297830581665039
NODE_20_length_27099_cov_18.213245	27099	39.52697405876912	22	69.86228942871094	0	0	3.492857142857143	3.9711928367614746	0	0	3.8306451612903225	4.764136791229248	3.6066350710900474	4.1357550621032715	1.8333333333333333	1.7760494947433472	0	0	0.8169014084507042	1.45926833152771	0	0	0	0	3.9466019417475726	5.057023048400879
NODE_21_length_26283_cov_10.110416	26283	16.965282505105513	13.734513274336283	28.945499420166016	0	0	3.230769230769231	2.4914188385009766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_22_length_25994_cov_21.585836	25994	44.938448493174675	24	72.64859008789063	0	0	4.908602150537634	7.355323791503906	0	0	4.343023255813954	5.643064975738525	3.6216216216216215	4.037100791931152	2.2857142857142856	1.961957573890686	0	0	1.4871794871794872	1.9904886484146118	0	0	0	0	4.292307692307692	6.080567836761475
NODE_23_length_25874_cov_19.060266	25874	45.49414927687655	22	59.40541458129883	0	0	3.855218855218855	3.602478265762329	0	0	4.375	5.777688026428223	4.029126213592233	4.705732345581055	3.9642857142857144	4.745660305023193	0	0	2.8813559322033897	2.542158365249634	0	0	0	0	4.389162561576355	5.7547712326049805
NODE_24_length_25638_cov_17.992104	25638	43.15221597088745	20	70.2391357421875	0	0	4.203448275862069	4.273458957672119	0	0	4.690476190476191	6.285778999328613	4.305555555555555	5.502195358276367	3.5123456790123457	3.1720187664031982	0	0	1.813953488372093	1.9791030883789063	0	0	0	0	4.626436781609195	6.172862529754639
NODE_25_length_25570_cov_7.533020	25570	65.22720514802214	9.262048192771084	7.508297443389893	3.5	4.195821762084961	5.3061224489795915	8.102705001831055	0	0	4.751269035532995	7.6631317138671875	6.9757085020242915	18.098474502563477	8.094594594594595	22.16250991821289	7.736318407960199	20.082792282104492	9.871698113207547	34.351383209228516	8.274900398406375	25.432655334472656	0	0	1.4545454545454546	0.7123804092407227
NODE_26_length_25154_cov_19.305948	25154	40.52242570744556	20	37.25947952270508	0	0	4.759541984732825	6.958317756652832	0	0	4.443181818181818	6.709770202636719	3.4829931972789114	3.45320463180542	2.225806451612903	1.8248265981674194	0	0	1.25	1.3155587911605835	0	0	0	0	4.360902255639098	4.629093647003174
NODE_27_length_25006_cov_9.510400	25006	12.82484076433121	12.82484076433121	25.87056541442871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
